Game,MaxPrize,PeakViewers,NumTournaments,Platform,YearOfRelease,MaxPrize_Last3Years,PeakViewers_Last3Years
Dota2,40018400.00,1714668,1979,PC,2013,15120000.00,1058413
Leagueoflegends,6450000.00,3111023,3031,PC,2009,2225000.00,3111023
CallofdutyWarzone,1050000.00,1613626,407,Multiplatform,2020,1050000.00,615047
Fortnite,15287500.00,2748814,2343,Multiplatform,2017,3992000.00,2748814
Valorant,2250000.00,1726074,1328,PC,2020,2250000.00,1194135
CounterStrikeGO,2000000.00,1914861,7099,PC,2012,2474996.00,1624985
Overwatch,2550000.00,634296,999,Multiplatform,2016,2550000.00,634296
ApexLegends,2000000.00,674070,738,Multiplatform,2019,2000000.0,558905
RainbowSixSiege,3000000.00,583166,572,Multiplatform,2015,3000000.00,583166
PUBGMobile,4141565.50,110266,342,Mobile,2018,4141565.50,110226
PUBG,7068071.00,597663,641,PC,2017,3353783.00,187320
WorldofWarcraft,330000.00,1135186,225,PC,2004,300000.00,795793
RocketLeague,2100000.00,402237,4880,Multiplatform,2015,2100000.00,402237
TeamfightTactics,550000.00,364836,113,PC,2019,550000.00,137702
Hearthstone,1000000,310315,1174,PC,2014,500000.00,106142
SuperSmashBrosUltimate,156904.16,272231,1757,Console,2018,102787.55,156671
StreetFighter6,1734000.00,326280,136,PC,2023,1734000.00,326280
ArenaofValor,10000000.00,53100,182,Mobile,2016,9747684.74,53100
BrawlStars,1000000.00,903118,210,Mobile,2018,1000000.00,903118
StarcraftII,1050000.00,150349,7534,PC,2010,1050000.00,76002
AgeofEmpiresII,200000.00,73027,2082,PC,1999,200000.00,48041
SuperSmashBrosMelee,153489.65,198207,2752,Console,2001,153489.65,93561
MarioKart8,9650.00,294474,10,Console,2017,9650.00,59486
LeagueoflegendsWildRift,2000000.00,130748,117,Mobile,2021,2000000.00,40309
EASportsFC24,1000000.00,592517,76,Multiplatform,2023,1000000.00,592517

